dataset,method,score_W1_train,score_W1_test,R2_real_mean,R2_fake_mean,R2_both_mean,f1_real_mean,f1_fake_mean,f1_both_mean,coverage_train,coverage_test,percent_bias,coverage_rate,AW,f1_class,time_taken,density_shape,density_trend,density_overall,mle,c2st,R2_real_lin,R2_fake_lin,R2_both_lin,f1_real_lin,f1_fake_lin,f1_both_lin,R2_real_linboost,R2_fake_linboost,R2_both_linboost,f1_real_linboost,f1_fake_linboost,f1_both_linboost,R2_real_tree,R2_fake_tree,R2_both_tree,f1_real_tree,f1_fake_tree,f1_both_tree,R2_real_treeboost,R2_fake_treeboost,R2_both_treeboost,f1_real_treeboost,f1_fake_treeboost,f1_both_treeboost
magic,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.8366290260438245,0.8282811775503454,0.8375596948630615,0.7901696169500108,0.9875569575885034,0.0,0.0,0.0,"[np.float64(0.39397371421058164), np.float64(0.388214796788257), np.float64(0.39564281328693107)]",226.16326332092285,0.9788921522286012,0.9765063652210593,0.9776992587248303,0.9336535646141619,0.9869922305196257,0.0,0.0,0.0,0.7616647478261975,0.7663346405833362,0.7639996413820981,0.0,0.0,0.0,0.8196345991613145,0.8195599982177628,0.8252244384603438,0.0,0.0,0.0,0.8846795551458764,0.8674535917307395,0.8807664530544237,0.0,0.0,0.0,0.8805372020419097,0.8597764796695428,0.8802482465553803
shoppers,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.7552948831458679,0.7793422324128612,0.7718125648807634,0.7473491333994172,0.9870235198702353,0.0,0.0,0.0,"[np.float64(0.44583549957810087), np.float64(0.4517922695705367), np.float64(0.4475446771921101)]",10303.061242103577,0.8748276978429272,0.9868630601068065,0.930845378974867,0.9161785907370699,0.9827582408409694,0.0,0.0,0.0,0.7169621791231797,0.7652159578710869,0.7455902237061347,0.0,0.0,0.0,0.7643940085331629,0.7765085088885001,0.7703780121086108,0.0,0.0,0.0,0.7649509803921568,0.7885810380991487,0.7796639328351078,0.0,0.0,0.0,0.774872364534972,0.7870634247927089,0.7916180908732011
shoppers,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=True ,0.0,0.0,0.0,0.0,0.0,0.7552948831458679,0.7683429118720142,0.7657351718373366,0.7315490673154906,0.9835090565017572,0.0,0.0,0.0,"[np.float64(0.45913545371754283), np.float64(0.4584725547533233), np.float64(0.46489509786742833)]",10118.010960817337,0.964920448970192,0.9778196843677662,0.9713700666689793,0.9108804271393185,0.9206239694078957,0.0,0.0,0.0,0.7169621791231797,0.7589277349522352,0.7422693223496528,0.0,0.0,0.0,0.7643940085331629,0.7628082225935816,0.761991494747273,0.0,0.0,0.0,0.7649509803921568,0.7790286217430324,0.7761719150512492,0.0,0.0,0.0,0.774872364534972,0.7726070681992079,0.7825079552011714
default,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.6505359937006442,0.6284464927393225,0.6504170486227931,0.6972098765432099,0.9837777777777779,0.0,0.0,0.0,"[np.float64(0.43838187330544165), np.float64(0.44616463799916656), np.float64(0.43503100117761867)]",28475.31416273117,0.9215817901234568,0.963770861687299,0.9426763259053779,0.740519153196655,0.9492761838134431,0.0,0.0,0.0,0.5880331952530229,0.5334193762282111,0.583770126822299,0.0,0.0,0.0,0.6694145675610773,0.6687346898455542,0.6710194154109834,0.0,0.0,0.0,0.6730820051577864,0.6684745635531762,0.6759765844957484,0.0,0.0,0.0,0.6716142068306901,0.6431573413303486,0.6709020677621416
adult,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.0,0.0,0.0,0.7894619917581123,0.7799255121152389,0.7844945457111926,0.7255817286528874,0.8582806133939356,0.0,0.0,0.0,"[np.float64(0.38014238012074564), np.float64(0.386474137867058), np.float64(0.3837610774059442)]",38903.76815152168,0.9519008766452026,0.9790775341587663,0.9654892054019846,0.9108030505377835,0.9885445358671678,0.0,0.0,0.0,0.7632229786204203,0.7541452744056723,0.7423202401582679,0.0,0.0,0.0,0.7924613935756186,0.7927840800085556,0.7931397184951383,0.0,0.0,0.0,0.7901436634883656,0.7844720750159305,0.7934690500592189,0.0,0.0,0.0,0.8120199313480447,0.7883006190307974,0.8090491741321453
news,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,-1.4190442645498857,-1.8259400748101868,-1.2690308428459005,0.0,0.0,0.0,0.7139587245531919,0.9836065573770492,230.79162958275072,0.40350877192982454,1513.2335731642313,"[np.float64(0.47939439447629845), np.float64(0.47531891900667833), np.float64(0.48089755132419143)]",17441.166785478592,0.8804731852848392,0.9718659491483714,0.9261695672166053,0.8773848414421082,0.94533414237909,0.024235237659385733,0.01795472577085585,0.02341843643521091,0.0,0.0,0.0,-5.054473144151729,-7.14310642592354,-4.802981793309783,0.0,0.0,0.0,-0.07377970660696676,-0.018896476988655226,-0.07354430858012706,0.0,0.0,0.0,-0.5721594451002323,-0.1597121220994077,-0.22301570592890396,0.0,0.0,0.0
beijing,forest_diffusion n_t=50 n_t_sampling=50 model=xgboost diffusion=mixed-flow duplicate_K=100 ycond=False depth=7 n_trees=100 eta=0.3  quantile=False ,0.0,0.0,0.31586195166259934,0.3228050072258106,0.4596920901175274,0.0,0.0,0.0,0.44528706882023716,0.9328703703703702,53.303166198041744,0.5897435897435898,11.723481461048568,"[np.float64(0.4571122150041282), np.float64(0.4560906837871243), np.float64(0.4551891682772027)]",31022.78440475464,0.9687630274163361,0.9557164729514,0.9622397501838682,0.6514590382575989,0.9475551853082183,0.4058440015748974,0.38718971254333345,0.4003976691681549,0.0,0.0,0.0,-0.7529268825185267,-0.1361853433662476,-0.05344243863312711,0.0,0.0,0.0,0.8486419400502402,0.5252901405618537,0.7965199822424545,0.0,0.0,0.0,0.7618887475437865,0.5149255191643028,0.6952931476926274,0.0,0.0,0.0
